name,developer,status,status_group,category,capacity_mw,capacity_label,landscape_weight,location,latitude,longitude,precision,nearest_nuclear_name,nearest_nuclear_state,nearest_nuclear_distance_mi,nearest_nuclear_capacity_mw,source,source_url,notes
Potomac Technology Park,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Prince William, VA",38.630246,-77.42246893,Public tracker coordinates,North Anna,VA,44.1,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Gateway Commerce Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Spotsylvania, VA",38.165024,-77.529495,Public tracker coordinates,North Anna,VA,15.9,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Skybox San Angelo Campus,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Tom Green, TX",31.52764,-100.33235,Public tracker coordinates,Comanche Peak,TX,158.6,2430.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Tuscarora Crossing Landbay 3,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Loudoun, VA",39.07723175,-77.53374334,Public tracker coordinates,North Anna,VA,71.6,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Forest Lane Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Stafford, VA",38.26742,-77.3867,Public tracker coordinates,North Anna,VA,26.2,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Vint Hill Technology Campus,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Fauquier, VA",38.75228175,-77.67349626,Public tracker coordinates,North Anna,VA,48.2,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Sisson North,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Stafford, VA",38.25873,-77.38705,Public tracker coordinates,North Anna,VA,25.8,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
King George Technology Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"King George, VA",38.256557,-77.29122,Public tracker coordinates,North Anna,VA,30.3,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Dahlgren West,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"King George, VA",38.30985,-77.11264,Public tracker coordinates,Calvert Cliffs Nuclear Power Plant,MD,37.3,1850.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Copper Ridge,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Culpeper, VA",38.46529475,-77.98738914,Public tracker coordinates,North Anna,VA,30.0,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Caroline Center for Innovation North,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Caroline, VA",37.95119,-77.42421,Public tracker coordinates,North Anna,VA,21.3,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Gregory Road Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Newton, GA",33.65261727,-83.81668935,Public tracker coordinates,Oconee,SC,94.7,2666.7,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Howell Township Hyperscale Data Center,,Canceled,Other,Publicly tracked data-center facility,,,4.0,"Livingston, MI",42.6480582,-84.0219958,Public tracker coordinates,Fermi,MI,61.3,1217.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Kestrel - Building 1,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Platte, MO",39.35403,-94.6976,Public tracker coordinates,Cooper Nuclear Station,NE,85.8,801.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
"Project West
",,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Troup, GA",32.98262,-85.014525,Public tracker coordinates,Joseph M Farley,AL,121.7,1776.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Thornberry Data Center Campus,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Caroline, VA",37.95416,-77.40686,Public tracker coordinates,North Anna,VA,22.1,1959.4,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
